"Speaker Name","Start Time","End Time","Text"
"Speaker 1","00:00:00:04","00:00:18:01","I enjoy naked in the sights of your body running through my head. It's hard to escape the past. Every time I say something, I really want to take it back. Sensitive. I'm peeling back my skin."
"Speaker 2","00:00:18:05","00:00:19:09","Get damaged by."
"James Somerton","00:00:20:19","00:00:39:02","Hello, everyone, and welcome to the inaugural episode of Going In Raw, where we watch a movie and then immediately give you our live reactions to it. The first movie we were talking about actually wasn't on the list because we just decided to watch it and have this be the opening episode. And that first movie is Nimona. And now I'm going to let Nick talk."
"James Somerton","00:00:39:02","00:00:39:12","Hi, Nick."
"Nick Herrgott","00:00:39:15","00:00:47:05","Hi, I'm Nick. And everything that happened, everything that James is saying is true."
"James Somerton","00:00:47:06","00:00:48:22","It is true. It is."
"Speaker 2","00:00:49:09","00:00:50:08","True. It is."
"James Somerton","00:00:50:08","00:00:50:21","In fact."
"Speaker 2","00:00:50:21","00:00:52:07","Go figure!"
"James Somerton","00:00:52:07","00:01:05:06","In fact, fact. So yeah, the-the idea of this podcast is that it is for patrons and YouTube members and that we will watch a movie."
"Nick Herrgott","00:01:05:13","00:01:07:15","Content, we will watch a content."
"James Somerton","00:01:07:22","00:01:20:04","A content that we have either never seen before, at least one of us has never seen before, or we haven't seen in a very long time and watch it and then immediately record our thoughts."
"Nick Herrgott","00:01:20:04","00:01:23:11","Give our unadulterated thoughts. Because when James and I normally watch."
"Speaker 2","00:01:23:13","00:01:24:06","Thoughts."
"Nick Herrgott","00:01:24:23","00:01:37:05","And James and I normally watch a movie, TV show or whatever, we talk about it for eons before it ends up appearing in a video. So this is this is our raw thoughts about that. Yeah, we haven't we haven't discussed it at all."
"James Somerton","00:01:37:05","00:01:58:14","We'll leave a movie theater and just like blabber for the entire drive back to wherever we live. So we just watched Nimona, which is available on Netflix and is and is in some theaters and so do you want to kind of give an idea of what Nimona is?"
"Nick Herrgott","00:01:58:23","00:02:00:07","So are we going to do spoilers?"
"Nick Herrgott","00:02:05:01","00:02:09:04","I mean, it's hard it'll be hard to kind of to fill the time without giving spoilers."
"James Somerton","00:02:09:04","00:02:15:13","Yeah, it's not. It's not it's not the type of movie that if you know how it ends, it's going to ruin it for you."
"Nick Herrgott","00:02:15:13","00:02:16:07","It's it's little."
"James Somerton","00:02:16:09","00:02:18:09","We don't need to talk about the ending ending."
"Nick Herrgott","00:02:18:09","00:02:26:20","Plot wise it's literally every animated. Yeah and show TV what it's it's it's the format and that and that's okay."
"James Somerton","00:02:26:21","00:02:32:00","So basically a night who is lower born a dude who's lower."
"Nick Herrgott","00:02:32:00","00:02:41:00","But first of all we have to set the setting. So this is a world where there is a society that is surrounded by walls that are terrified of monsters outside the walls. Think attack of Titan, but for kids."
"Speaker 2","00:02:41:08","00:02:41:16","Yeah."
"James Somerton","00:02:44:08","00:02:46:14","So yeah. So it takes place in that kind of society."
"Nick Herrgott","00:02:46:14","00:02:54:03","And there's a kind of you kind of equated it to a religion of lifting up certain individuals to this this well, there's this."
"James Somerton","00:02:54:03","00:02:57:23","There's this huge hero worship for this."
"Nick Herrgott","00:02:58:21","00:02:59:14","The first night."
"James Somerton","00:02:59:17","00:03:18:17","The first night who, you know, she slayed this monster a thousand years ago. And now every so often, new knights are added to the sort of regimen of knighthood. But they're all honorable, Sean. They're all like, Highborn. Yeah. And the first one that becomes a knight who isn't."
"Nick Herrgott","00:03:18:17","00:03:22:19","Highborn This is cause for controversy."
"James Somerton","00:03:22:22","00:03:32:18","Yes, lots of people are not happy about this. And he is framed for the murder of the queen. And so he has to figure out how to, you know."
"Nick Herrgott","00:03:32:18","00:03:33:04","Clear his."
"James Somerton","00:03:33:04","00:03:35:11","Name and in doing so meets."
"Nick Herrgott","00:03:35:11","00:03:36:10","This encounter."
"James Somerton","00:03:36:11","00:03:38:22","Crazy ass being called the Mona."
"Nick Herrgott","00:03:39:04","00:03:41:18","An impish young lady. Occasionally."
"James Somerton","00:03:42:12","00:03:43:10","Sometimes a boy."
"Nick Herrgott","00:03:43:10","00:03:48:05","Today, a boy today. I called her immediately, like, Oh, that's the monster."
"Speaker 2","00:03:48:12","00:03:48:20","Yeah."
"Nick Herrgott","00:03:49:18","00:04:05:13","So, like, spoilers, like this is a first act thing, so don't even feel bad, but we are going to get the spoiler, so be careful. And she sets out on a quest with him initially because he she thinks that he's out to sort of topple the establishment government and you know."
"James Somerton","00:04:05:19","00:04:07:12","Which needs some toppling which."
"Nick Herrgott","00:04:07:14","00:04:12:02","Which she believes is in need of some toppling. Yeah, probably more toppling that is needed."
"Speaker 2","00:04:12:10","00:04:12:20","Yes."
"Nick Herrgott","00:04:14:09","00:04:19:13","But he's out to clear his name and so she's like, okay, well, clear your name and then we'll be friends. And then he's like, Deal."
"James Somerton","00:04:20:06","00:04:29:22","For everyone listening. I just adjusted the volume a little bit. I hope that's all right. I think I did. I adjusted, I did something. I did something. But yeah, continue."
"Nick Herrgott","00:04:29:22","00:04:57:07","James Summerton Channel Audio Problems Trademark new audio recorder. So a little bit of slack. So they set out on a quest to figure out what's going on to clear his name and, you know, haphazard, circumstantial evidence. Zach, in a moment, it's all there. But yeah, it's perfectly fine because it's very it's about the characters and their interactions and what's trying to say, Yeah, I read earlier that pneumonia as a trans allegory."
"James Somerton","00:04:57:09","00:05:06:08","And I didn't, I didn't sort of I hadn't I knew nothing about this going on and I knew lots of people said that it was like really gay. And I was like, okay, it's gay. Like Luca."
"Nick Herrgott","00:05:06:12","00:05:09:16","I didn't hear about the gay stuff. I heard about the trans allegory stuff."
"James Somerton","00:05:09:16","00:05:12:11","Okay? So I heard that it was that it was gay."
"Nick Herrgott","00:05:12:12","00:05:15:02","And like, right for first scene, it's gay. Yeah."
"Speaker 2","00:05:15:12","00:05:17:12","They kiss the kiss."
"James Somerton","00:05:17:20","00:05:19:06","Not at the beginning, but at the end. They kiss."
"Nick Herrgott","00:05:20:00","00:05:22:01","But at the beginning they're holding hands and it's like."
"James Somerton","00:05:22:08","00:05:32:12","Resting on each other. And like, I thought, it's very apparent. I was like, okay, it's gay. Like Luke is gay, all right, you're fine or whatever. So I was really kind of shocked when I was like, Oh my God. Oh, but touching it."
"Nick Herrgott","00:05:32:13","00:05:39:11","But no, I mean, a major plot point of the entire series is that this is kind of like a jilted lover status they fucking like."
"James Somerton","00:05:41:00","00:05:55:11","And so the main character is gay and his love interest and the main character is voiced by a resumed who doesn't get nearly enough work. And his love interest is played by Eugene Liang, who is Eugene from the Dry Guys."
"Nick Herrgott","00:05:56:07","00:05:57:21","The group formerly known as the Dry Guys."
"James Somerton","00:05:58:04","00:05:59:12","Yeah, I don't really think they're."
"Nick Herrgott","00:05:59:18","00:06:01:14","They don't really dry, literally dry much anymore."
"James Somerton","00:06:01:19","00:06:02:02","They don't."
"Nick Herrgott","00:06:04:02","00:06:05:13","One guy tried to apologize."
"Speaker 2","00:06:05:15","00:06:07:01","That didn't work out right."
"James Somerton","00:06:09:16","00:06:22:07","And they and so there's this like, you know and he's basically a cop. Yeah. And so he's like, I've got to, you know, take him in whether I love him or not. I have to find him and, you know, bring him to justice."
"Nick Herrgott","00:06:22:07","00:06:26:13","And there's some serious I was like, meet after me off the bat, like, don't take him back."
"James Somerton","00:06:27:02","00:06:27:08","Oh, yeah."
"Speaker 2","00:06:27:08","00:06:30:12","You do not like you were pissed. But that's kind of."
"Nick Herrgott","00:06:30:12","00:06:34:16","My ending point, is that, you know, they do get back together at the end. And I was like, Now na na."
"Speaker 2","00:06:34:16","00:06:36:01","Now there."
"Nick Herrgott","00:06:36:11","00:06:39:12","There was some betrayed trust. On several occasions I."
"James Somerton","00:06:39:14","00:06:53:08","There was, there was much betrayed trust. Yeah. I just assumed that, you know, between the, the, the ending and then the ending ending where you see them back together, it was like kind of something had happened, you know, they kind of."
"Nick Herrgott","00:06:54:10","00:06:58:14","Parted ways, but, you know, they want to have gay representations. They need to have happy gays and not, you know."
"James Somerton","00:06:59:00","00:07:20:00","Which I, I want to Netflix. There's lots of stuff that pisses a lot of people off. I want to give them some props for actually making this movie because it was supposed to be a Disney movie and it was in pre-production at Disney. I think it may have actually been in production and Bob Chapek took over and axed it."
"James Somerton","00:07:21:10","00:07:25:03","It was then picked up for production by Annapurna Pictures."
"Nick Herrgott","00:07:25:06","00:07:28:04","Which is another A24 esque arthouse."
"James Somerton","00:07:28:04","00:07:42:05","Yeah, Annapurna Pictures is basically it's run by Megan Ellison. Her dad, like, owns Nike, so he's like super rich and he gave her a bunch of money and said, Do something with your life. Here's money I'm not giving you anymore. Yeah. And she became a film producer and she's been amazing, you know?"
"Nick Herrgott","00:07:42:05","00:07:42:23","Wasn't that Laker?"
"James Somerton","00:07:43:16","00:07:45:07","Both of them. They're like sister."
"Nick Herrgott","00:07:45:10","00:07:46:22","Wow. They have. That's a family."
"James Somerton","00:07:46:22","00:08:01:14","Yeah, Like David that worked. And so she does really Annapurna Pictures does really interesting movies. And so they did this. Netflix bought it. I don't know if they bought it or if they finished it, whatever it might have been. But like big props to Netflix for."
"Nick Herrgott","00:08:01:15","00:08:01:20","Yeah."
"James Somerton","00:08:01:20","00:08:06:19","So we're getting this out on Pride Month but bad props to Netflix for not advertising it more."
"Nick Herrgott","00:08:06:19","00:08:17:08","Yeah, well that's how it goes So word of mouth spread it. But yeah Nimona herself, the character is definitely a trans allegory. What's the deal is she's not a typical monster. She's a shapeshifter."
"James Somerton","00:08:17:08","00:08:20:22","Which I don't know. If I don't know, I would say genderqueer because, like, she like."
"Nick Herrgott","00:08:21:08","00:08:25:03","We were getting there. They literally we were getting there because."
"James Somerton","00:08:25:03","00:08:26:19","They literally, literally like, boy."
"Speaker 2","00:08:26:19","00:08:27:20","Today, literally."
"Nick Herrgott","00:08:27:20","00:08:33:00","Every non-binary person in the world is like, what superpower would you pick shapes after like."
"Speaker 2","00:08:33:00","00:08:33:05","That?"
"Nick Herrgott","00:08:33:05","00:08:48:04","That's, that's the thing. It's like, no, I'm very non-binary nonbinary and trans guys with rats like right. Nobody knows why. I mean, with shape terms, it's a little bit more clear because you get to be more whimsical with like gender and sort of fluidity and stuff. Yeah, And."
"James Somerton","00:08:48:21","00:08:55:03","And they're very like, like they shift into armadillos and a whale."
"Nick Herrgott","00:08:57:07","00:08:58:17","Like, I like the shark. The shark."
"James Somerton","00:08:58:17","00:09:05:18","Was nice. Oh, the surface adorable. But the the asshole Nate, who was just, like, constantly scared about the whale showing up again. Just kind of."
"Nick Herrgott","00:09:06:00","00:09:07:08","Yeah, that was that was like."
"James Somerton","00:09:07:09","00:09:08:05","That tickled me."
"Speaker 2","00:09:08:08","00:09:08:19","Um."
"Nick Herrgott","00:09:09:18","00:09:24:10","So the thing about, like, Nimona being, like, a trans allegory is because a lot of the lines directed at trans people, like what are yes, there was a lot of that coded language, not so coded language kind of put in there like."
"James Somerton","00:09:24:20","00:09:44:23","Like asking like, what are you why can't you just be this? Yeah, like a lot of that and not even coming from like a malicious place, but just like, asking, like, why can't you just be normal and, like, her getting really upset at that? Yeah, because you can tell she's been asked that for a long time and she's over it now."
"Nick Herrgott","00:09:45:00","00:09:48:09","Yeah, yeah, yeah. You're not the first person to ask this question, sir."
"Speaker 2","00:09:48:10","00:09:48:16","Like, Yeah."
"James Somerton","00:09:48:23","00:09:57:07","She like, congratulations. You ask the question I've been asked for the last thousand years. Bravo. So like. And also she's a thousand years old."
"Nick Herrgott","00:09:57:08","00:10:03:19","Yeah, she's least old. Yeah, at least it seemed like she was around the pond by the time she started turning into humans."
"James Somerton","00:10:03:23","00:10:05:06","Yeah, that's. Yeah."
"Nick Herrgott","00:10:05:16","00:10:07:06","And one question I came away from with."
"James Somerton","00:10:07:06","00:10:09:17","All those that she didn't turn into a human until she first saw."
"Nick Herrgott","00:10:09:17","00:10:13:07","One. Yeah, It seems like she only really turns into things when she wants companionship."
"James Somerton","00:10:13:07","00:10:17:03","Yeah. Which I want a sequel. I want to find out, like, is she some kind of nature spirit? Yeah. Yeah."
"Nick Herrgott","00:10:17:10","00:10:26:01","What's going on there? Another question I had is like, there's the whole like, it is very attack on Titan. They don't go outside the walls. They. They don't go outside the walls. Yeah."
"James Somerton","00:10:26:08","00:10:27:20","Because outside the walls are monsters."
"Nick Herrgott","00:10:27:20","00:10:31:19","And at the end there's an indication that there is now travel outside the walls."
"James Somerton","00:10:31:19","00:10:34:14","It's an indication they show the wall has been broken."
"Nick Herrgott","00:10:34:21","00:10:38:01","What I mean by the indications for what purpose are they going outside the walls now?"
"James Somerton","00:10:38:10","00:10:39:12","Yeah. Like obviously this."
"Nick Herrgott","00:10:39:12","00:10:42:13","Resource acquisition is this like, you know, like is it just shows."
"James Somerton","00:10:42:13","00:10:48:02","Like that? It is a an open space. Yeah. It's there's nothing outside. Yeah. It's, it's wilderness."
"Nick Herrgott","00:10:48:03","00:10:57:23","Yeah. That's the, that's the rhetoric is that there are monsters everywhere in the wilderness. Yeah. What I wanted to know is like, was it just the one monster that the. Oh I forgot the, the night lady. Not Glinda."
"James Somerton","00:10:58:13","00:10:59:10","Nope, not Glinda."
"Nick Herrgott","00:10:59:10","00:11:00:02","Not Glinda."
"Speaker 2","00:11:00:16","00:11:01:08","Let me."
"Nick Herrgott","00:11:02:00","00:11:16:10","It's unimportant the head night lady. Like it's not clear whether she because I would have even read that Nimona and there's night lady encountered later in later in night lady's life where she could properly vanquish this foe with the proper sword. And."
"James Somerton","00:11:16:15","00:11:27:05","Well, that's what I meant by like, there was a religion around it because spoilers for a bit later on you find out that you know the legend that you heard."
"Nick Herrgott","00:11:27:05","00:11:29:07","At the very end of the night vanquishing the monster."
"James Somerton","00:11:29:07","00:11:31:09","Was really two little girls."
"Nick Herrgott","00:11:31:09","00:11:34:18","Two little girls and one having all decided that the other little girl was a monster."
"James Somerton","00:11:34:19","00:11:56:20","Yeah, Even though they had been best friends, she decided she was a monster and it was a wooden sword. She didn't, like, vanquish her and everything. But a religion was built up around this myth. Yeah, and I found that really interesting. Just the sort of commentary on, like, how things change in the telling. Yeah."
"Nick Herrgott","00:11:56:20","00:12:03:21","So for that, like, I, there are two things I had I had about that thought it was you brought it up is the first is like are there other monsters in this world."
"James Somerton","00:12:04:04","00:12:08:06","Yeah like art because in the end the monster she turns into is really cool. It's very."
"Nick Herrgott","00:12:08:06","00:12:17:01","Miyazaki. Like, is she the only like, this was a mix of attack on Titan and Miyazaki. Know that specific Miyazaki movie? Princess Mononoke?"
"James Somerton","00:12:17:08","00:12:17:18","Yeah."
"Nick Herrgott","00:12:18:20","00:12:24:00","So, like, I also want to know, like, did Nimona and her blond and Blondie."
"James Somerton","00:12:25:06","00:12:25:19","Blondie."
"Nick Herrgott","00:12:26:06","00:12:39:10","Glinda, Lady Knight lending her name Galadriel or Gloria? Laura. Gloria did they re encounter in a more later more climactic way where you did get these kind of murals of this giant monster."
"James Somerton","00:12:39:10","00:12:42:21","Kind of yeah Or was it really just for these two little girls."
"Nick Herrgott","00:12:42:21","00:12:44:05","They can way out of proportion?"
"James Somerton","00:12:44:05","00:12:46:20","Yeah, that it was blown up. You know, given how."
"Nick Herrgott","00:12:46:20","00:12:55:11","Much pageantry is kind of built up around Gloria, I'd say that there was I would I would have that indicates to me that there would have been another conflict later."
"James Somerton","00:12:55:12","00:12:57:09","Maybe evenly. And this is just me kind of like."
"Nick Herrgott","00:12:57:14","00:13:00:15","Not that it really not that it matters. I'm just head canning."
"James Somerton","00:13:00:18","00:13:18:00","Well, yeah. And it's like I'm sort of spitballing ideas here that maybe even later in life they didn't make up. But like Nimona kind of said, like, I'm going to give you something and pretended to be slain. Yeah, And that created Glau. It's kind of."
"Nick Herrgott","00:13:18:05","00:13:18:14","That big."
"James Somerton","00:13:18:20","00:13:19:17","Forever myth."
"Nick Herrgott","00:13:20:07","00:13:23:10","You know? Just tell your people you can kill me, but tell people to stop hunting."
"James Somerton","00:13:23:10","00:13:39:01","And maybe it's even. She found out like, wait, like you, your people, you you get old and die. I that doesn't happen to me. The only way you can live forever is if there's, you know, a story about you. Yeah, like something like that. Like, that's. That's sequel fodder."
"Nick Herrgott","00:13:39:03","00:13:50:11","Hmm. Another thing is, I didn't quite understand how I felt that, you know, Nimona was watching. Oh, the two gay boys gave away."
"James Somerton","00:13:50:12","00:13:50:21","Boys."
"Nick Herrgott","00:13:51:13","00:13:52:04","Um."
"James Somerton","00:13:52:19","00:13:54:20","Let me see. Here. Let me see. I got. I got it."
"Nick Herrgott","00:13:54:20","00:13:56:14","Golden Loin was one of them. Yes."
"James Somerton","00:13:57:07","00:13:58:13","Ballester bold hers."
"Nick Herrgott","00:13:58:13","00:13:59:00","And."
"James Somerton","00:13:59:03","00:14:01:19","And Ambrosia is golden loin. Yes."
"Nick Herrgott","00:14:02:13","00:14:04:10","Um, like they kind of."
"James Somerton","00:14:04:10","00:14:09:18","I love the names. The names are. It's based on a graphic novel, so it's obviously like playing. Yeah. The sort of."
"Nick Herrgott","00:14:09:18","00:14:32:23","Chivalry they didn't have. They had a similar falling out to Nimona and Glorious. Yeah, I felt like Nimona didn't play off of that enough either in one way or the other. Empathetic or get over him either telling him to get telling Balas to get over him, or kind of sort of, you know, wanting to see how this would play out, you know, And she was certainly sort of a proxy."
"Nick Herrgott","00:14:32:23","00:14:35:03","I felt that there wasn't enough play with that."
"James Somerton","00:14:35:08","00:14:47:22","Yeah. Like, I think my only complaint about the movie right now is like I wish there was another half hour of it. Yeah. Because it was a 90 minute movie and I wish it had been 2 hours. Then you could have seen a bit more of the a bit more back and forth."
"Nick Herrgott","00:14:47:22","00:15:02:04","Like, like I said, I feel like it would have been natural for Nimona, that kind of, you know, from aged excuse me, age and experience, kind of advising people that, no, he's he's not for her, he's not for real. Yeah, he's he's just like all the rest."
"James Somerton","00:15:02:04","00:15:02:11","Yeah."
"Nick Herrgott","00:15:03:02","00:15:03:23","This one's different."
"Speaker 2","00:15:03:23","00:15:04:20","He's a guy."
"Nick Herrgott","00:15:07:01","00:15:07:18","And then but."
"James Somerton","00:15:07:18","00:15:09:02","Like, all nightmare bastards."
"Speaker 2","00:15:10:00","00:15:10:20","With the."
"Nick Herrgott","00:15:10:20","00:15:12:23","Complexity level of silly."
"Speaker 2","00:15:12:23","00:15:13:08","Cab."
"Nick Herrgott","00:15:14:14","00:15:22:06","With the complexity level of She's saying this, but she actually is curious about wanting to know like, is he different? Like, is it. Yeah. Like in another world."
"James Somerton","00:15:22:06","00:15:24:10","And giving him a shot to be different."
"Nick Herrgott","00:15:24:14","00:15:30:19","Like in it, but like, you know, being disappointed like, and like sort of what the question like in another world could, could glorify and I have worked out."
