"Speaker Name","Start Time","End Time","Text"
"James Somerton","00:00:00:01","00:00:23:08","Hardcore porn. Both of the straight and gay varieties entered mainstream American culture in the 1970s as the sexual revolution swept away many of the cultural and moral inhibitions that have been keeping the country's proverbial knees together. Surprisingly, the first porn movie ever to be previewed by Variety, the leading trade journal in the entertainment industry was Boys in the Sand from 1971."
"James Somerton","00:00:23:14","00:00:46:16","A sexually explicit gay movie shot on Fire Island with a budget of only $4,000. Moviegoers, celebrities and critics flocked to see it. Within a year, Deep Throat, a straight porno opened to rave reviews and a huge box office exceeding that of many mainstream Hollywood films. Though we can't know exactly how much it made because it was financed by the Mafia."
"James Somerton","00:00:47:12","00:01:17:17","Within two years, we saw the devil in Ms.. Jones and behind the Green Door hit theaters. These four movies made more money per screen than even The Godfather, which was released around the same time, though the sexual revolution that made these films possible was at first a mostly heterosexual affair. It also had a profound effect on gay men the intense stigma attached to homosexual before Stonewall blocked any open discussion of gay male sexuality and forced gay men's sexual expression deep underground."
"James Somerton","00:01:18:09","00:01:46:19","Consequently, the increasing acceptance of pornography during the sixties and seventies played a significant role in the sexual lives of gay men, even more than it did among the straight men of the same age. The increasing social acceptance of porn helped to legitimize visual representations of homo erotic images and gay sex in general. Before 1962, homosexual materials, even those without any sexual content were considered obscene by definition in the U.S. and much of Europe."
"James Somerton","00:01:47:13","00:02:19:11","The emergence of gay hardcore films provided explicit representations of gay sexual behavior not otherwise available, and the availability of such images helped to affirm the nascent gay identity. Since most gay men become adults without learning the social and sexual codes of their community, porn contributes, as film critic Richard Dreyer has observed to their education of desire, erections, orgasms and the performances of sexually desirable, masculine and energetic performers helped to create positive images of what gay men could be."
"James Somerton","00:02:20:02","00:02:42:20","Instead of the wholly negative images portrayed in mainstream culture, gay porn produced soon after, Stonewall focused heavily on masculine men. Since the culturally accepted image of a gay man was that of the sissy from Hollywood movies, the artwork of Toko Vallejo, Laaksonen, better known as Tom of Finland, helped to create the image of the hyper masculine gay man that permeated gay culture in the 1970s."
"James Somerton","00:02:43:12","00:03:03:23","And gay porn movies sought to emulate these ideals with the men they cast. While it's by no means representative of the entire gay community, these masculine stars showed gay men, both young and old, that they could be more than just hairdressers. Not that there's anything wrong with that. If this pandemic has taught us anything, it's that we really ought to be appreciating our hairdressers a lot more."
"James Somerton","00:03:04:04","00:03:32:23","But these porn stars were plumbers, carpenters, cops, firefighters, bikers and construction workers. The type of men that gay men desire to be and desire to have, desire, psychologists have found, is not something given to us out of the blue. It is constructed through fantasy and it is through fantasy that we learn how to desire pornographic movies, our passports to a fantasy world where sex exists without the everyday encumbrances of social convention endurance or availability."
"James Somerton","00:03:33:18","00:03:57:09","To imagine a sexual performance in a fantasy, or to see one in a porn movie enables us to experience sexual excitements without the side effects of anxiety, guilt, boredom, or danger. And for many of us, the erotic excitement is heightened when the fantasy includes an element of risk sex and public sex with a stranger, sex without a condom or sex in front of a salad."
"Speaker 2","00:03:57:21","00:03:58:19","From a salad."
