"Speaker Name","Start Time","End Time","Text"
"James Somerton","00:00:01:01","00:00:23:05","I just wanted to drop a content warning here as both physical and psychological abuse are discussed in this video. I also wanted to thank Chaos, Opus Studio, who composed the score in this video. They're also an animal welfare charity that raises money through the creation of Lgbtqia+ media, including an upcoming animated adaptation of Killing Stalking. You can check them out at the link in the description."
"James Somerton","00:00:24:05","00:00:47:14","And you know, like sharing, subscribe and sign up for my Patreon for monthly exclusives like Early Access audio commentaries behind the scenes Featurettes and movie Watch Along Parties. All right. Now on with the show. So if you're anything like I was circa six weeks ago, you're probably thinking, what the hell is killing stalking? I too was once so naive."
"James Somerton","00:00:48:04","00:01:09:11","You see, the day I released the power couple video, I got an emergency call to come home because my mom was in the hospital. Home for me is a five hour drive away. So instead of premiering the video as planned, I just set it to live. Jumped in my car and drove. My mom pulled through, thank God. But it was pretty touch and go for a while."
"James Somerton","00:01:09:17","00:01:30:04","So as I waited in the hospital and in my hotel room, I started checking the comments and the power. Couple of video, lots of love, which I definitely needed right then. But there were also a few people absolutely haranguing me because they thought the couple in the video's thumbnail wasn't wicked and hoping from Marvel Comics the subject of the video."
"James Somerton","00:01:31:02","00:01:59:05","But young mom and son. Whoa. And they were absolutely furious that I would have the gall to portray them in any kind of positive light. And all I could think was, Who the hell are you, Mom and song? Wow. If I wasn't already in such an emotional state, I would have ignored the comments as simply being misinformed. But they were calling me out on a bad day, so I decided I'd better do some research."
"James Somerton","00:01:59:22","00:02:25:07","So I use the hotels. Honestly? Shockingly good wi fi to hop on to the good old google.com and look up song. Well, and you and Mom. This is when I came across the Korean webcomic Killing, stalking. And right below that in the Google search in the people also ask section was the question does song someone love you and bum oh they're gay."
"James Somerton","00:02:26:11","00:02:57:16","Let's investigate it now because I'm a good law abiding citizen who would never, ever, ever pirate. I hunted around online for the books of killing, stalking, which I was seeing described as a psychological romance, romantic thriller, and dark romance. But try as I might, no online bookstore would sell me an English version of the comic. French, Spanish, Italian, German, Polish and Korean versions were plentiful and even available with prime shipping, but nothing in English."
"James Somerton","00:02:58:18","00:03:28:19","Fine, I'll do the bad thing and read it online. Well, shit. So because I had nothing better to do than sit in a hospital rooms and hotel rooms. I read the whole thing in two or three days. All 67 issues, multiple special issues, holiday issues and author notes. And it was good. A dark psychological thriller about loneliness, trauma and severe abuse."
"James Somerton","00:03:29:04","00:04:03:11","Closer to a horror novel than a thriller. Right in my wheelhouse. But then I thought back to how I'd seen it described online. Dark? Yes. Psychological. Yes. Thriller. Yes. Or romance. It had always been described as a romance. Who the hell was describing this as a romance? According to the Internet, a lot of people. Which suddenly I understood why some commenters were so angry that they thought I'd used an image of this couple and put a power couple beside it."
"James Somerton","00:04:03:13","00:04:31:04","And because I'm never one to turn down making a mistake, I decided to dive deep into the killing stalking fandom, which has a surprisingly large presence on TikTok. Personally, I'd loved the series. It was something akin to Gillian Flynn novels, stories about extremely flawed, emotionally broken people. But what I saw online was a community obsessed with the romance between the two lead characters the emotionally stunted Unabomber and the serial killer he's infatuated with."
"James Somerton","00:04:31:10","00:04:43:03","Sung Whoa. Now, before we talk about why looking at our relationship is anything even close to a romance is wrong. Let's go over the plot of the series so that you know what I'm talking about."
"James Somerton","00:05:24:06","00:05:50:19","Young mom is a depressed twentysomething who's had a pretty hard life, having lost his parents at a young age. He's been brought up by his grandmother and abusive uncle. He was drafted into the Korean military. Military service is compulsory in South Korea, and despite his frail body and psychological instability, he's still forced to serve. While in training camp, he becomes the target of other recruits who accuse him of being gay and make fun of him for looking like a girl."
"James Somerton","00:05:51:00","00:06:15:10","In one such altercation, his attackers are just about to rape him when he's rescued by another recruit, a handsome young man a few years his junior Sango. Ever since then, young mom has become infatuated with Sonko. After both completed their term of duty, he began following him around, finding out where he lived and even figuring out the security code to his house based on which buttons look to be pushed the most."
"James Somerton","00:06:15:20","00:06:44:02","Eun Bum essentially becomes the stalking in killing. Stalking. One day he manages to actually get in to the house, though he's almost thwarted by a police drive by. Once inside the house, he's almost euphoric to be in Sonko's private space. He has a look around but starts to hear noises from the basement. He goes down, partially hoping to find Sonko, but is shocked to find a mutilated young woman tied up and screaming for help."
"James Somerton","00:06:44:10","00:07:02:12","But when he takes off her blindfold, she screams for him to stay away. Hasn't noticed that Sonko has snuck up behind him, having been told that someone was in his house by the police outside. One of those officers, by the way, believes that Sonko killed his own parents. But we'll get to that later. So Sonko smashes Bam over the head with a bat."
"James Somerton","00:07:03:18","00:07:28:21","He tries to escape, but can't get past the much larger sonko. And so in an act of panic, he professes his love for him, telling him that he's been in love with him for years, ever since the military. Sonko seems to calm down with this and even invites him upstairs. When young mom asks if he's been forgiven for breaking into his house, Sonko says yes, but not with his legs in that state."
"James Somerton","00:07:30:01","00:07:53:08","Eventually destroying bombs, ankles with a sledgehammer. And here in this dark basement guest starring a soon to be corpse is where the love story of Sonko and Yoon Bond begins. It's not problematic at all. But when Bum wakes up now chain next to the girl who is now dead. By the way, Sonko confesses that although he kills women on the regular, he hasn't killed a man since his father."
"James Somerton","00:07:53:16","00:08:24:22","He starts force feeding Yun Bum some sort of porridge gruel before leaning in and kissing him and bomb instead of fearing for his life, which would be understandable in the situation. Wonders to himself. Does this mean we're dating? So after an unspecified amount of time chained up in the basement, assuming weeks, Sonko decides it's time to bathe, bomb, bath, bomb to wash him once he's all clean and now dressed in girl's clothing."
"James Somerton","00:08:25:06","00:08:47:03","Sonko tells him that he's going to let him live under two conditions. He never passes the threshold of the stairs at the house entrance, and he has to do all the cooking, cleaning and other housework. Essentially, bomb underpaying of death is made into song was mother, but bomb needs to eat off of a plate on the floor, presumably because Sonko doesn't want to humanize him too much."
"James Somerton","00:08:47:19","00:09:15:16","And Sonko watches him like a hawk, even when he's on the floor eating, just waiting for him to make a mistake, any mistake so that he can physically assault him. And he does on multiple occasions. No offense is too slight to bring on the wrath of Sonko. Eventually, someone with signs from the task of organizing a collection of shelves in the storage room while doing so, Bomb finds a bottle of rat poison and gets the idea to put it into song woes."
"James Somerton","00:09:15:16","00:09:37:06","Food. He'll be fine because Song won't ever let him eat at the table, let alone the same food as him. But not that night. Now Sonko invites him up to the big boy table and bomb is forced to eat first, which makes him violently ill. Later that night, when Bomb is done throwing his guts up, song well, actually lays him down on his own bed."
"James Somerton","00:09:38:00","00:10:03:10","And here we discover that song was father was incredibly abusive, particularly to his mother, and would force the two of them to eat off of the floor just like he was making bomb do. But just in case you thought the author was humanizing Sonko in some way, he then follows up his confession by telling Bomb that he hates people like him, people who are always complaining about their lot in life, that he has no sympathy for broken people, that they're useless."
"James Somerton","00:10:03:10","00:10:29:14","But for one thing. And then we find out what that one thing is with an insanely awkward sex scene that is, despite what many fans think rape, the power dynamic between the two is too vast. Sonko has far too much control over bomb for it to not be rape. Sorry shippers. This isn't a loving sex scene. It is sexual assault where the aggressor is a serial killer and the victim is psychologically underdeveloped."
"James Somerton","00:10:29:20","00:11:03:04","This is not romantic anyway. Bum continues to do everything he's told, creating a bond of trust with Sonko leading to song one day, saying that he needs to go out for a little while. Bomb immediately decides this is the time for him to make his escape. He changes his clothes. He passes the threshold and approaches the door. But then he stops and starts thinking, Yes, life with Sonko is pretty terrible, but he hasn't been so bad since they had sex."
"James Somerton","00:11:04:00","00:11:23:03","Not nice by any means, but not terrible. But if bum escapes and goes home, he'll be left at the mercy of his abusive uncle, who we've now discovered has been raping bombs since he was a child. But at least then you have a modicum of freedom. And so he opens the door smelling fresh air for the first time in months."
"James Somerton","00:11:24:05","00:11:49:13","But sitting on the stoop waiting for him is Song SONKO. This was a test to see a test. The bomb has failed. And so someone assaults him, leaving him a bloody mess in the street, all the while laughing and yelling, Somebody save him. But nobody comes. This area is mostly deserted. It's a bad area of town. Bomb can yell and yell, but no one will save him."
"James Somerton","00:11:50:22","00:12:08:10","Sonko takes him back into the house, throws him back into the basement and tortures him in a scene that would feel at home in SA. Now, as I mentioned earlier, one of the police officers we met in the first issue has been looking into song. Well, because he's thoroughly convinced that he killed his parents. The details around their deaths are just too sketchy."
"James Somerton","00:12:08:14","00:12:31:04","This has been running throughout the series, by the way. He eventually decides it's time to investigate Sonko's house and does a walk through. He looks everywhere but doesn't find any evidence of foul play. He also doesn't find bomb, which Sonko notices. Once the officer leaves, still very suspicious, Sonko flies into a fit of rage, convinced that Bomb used this opportunity to flee."
"James Somerton","00:12:31:19","00:12:52:00","He searches the house, the basement outside, and he can't find him anywhere. But once back in the house, he finds a bomb on the floor. He's been hiding from the cop. He grabs him. You're in tears saying they're going to be together forever. In fact, Sonko decides it's time to win Bomb over. So he gives him some crutches."
"James Somerton","00:12:52:00","00:13:20:02","Since bomb's ankles are still wrecked and takes him shopping for new clothes. At one point, bomb is actually alone in the store. This is a public mall. He's got the chance to escape. He can approach a security guard. He can call 911. This is his chance. But instead he starts to panic and looks for Sonko instead. Stop. Okay, that's enough Synopsis Sizing."
"James Somerton","00:13:20:02","00:13:50:13","For now. We need to talk about Stockholm syndrome. This term is thrown around a lot and most cops and even psychologists question its validity whether or not it even exists. But in my opinion, killing stalking is a textbook case of Stockholm syndrome. In theory, at least, the term originates from a bank robbery in Stockholm, Sweden, in 1973. Young Erik Olsen took four employees hostage during the robbery and held them captive for six days in one of the bank's vaults."
"James Somerton","00:13:51:00","00:14:23:18","When finally released, none of the captives would testify against Olsen. Instead, they began raising money for his defense fund. Their sudden connection with the captor became popularly known as Stockholm Syndrome, the symptoms of which are. Perceiving kindness or compassion from the captor or abuser, developing positive feelings toward the individual or group holding you captive or abusing you. Adopting the same goals, worldview and ideology as your captor or abusers feeling pity toward those abusing you."
"James Somerton","00:14:23:21","00:14:47:19","Refusing to leave them even when given the opportunity to escape. Having negative perceptions towards police, family, friends, and anyone else who may try to help you escape the situation. And refusing to assist police and government authorities in prosecuting the perpetrators of abuse or kidnaping. People like to throw around this diagnosis for a lot of things like Disney's beauty and the Beast, where 100% is not applicable."
"James Somerton","00:14:47:23","00:15:09:16","But here it 100% is in bomb hits. Every single one of the diagnostic triggers for Stockholm syndrome. He feels song always being compassionate toward him when he so much as lets him eat. He not only develops positive feelings for Song Low but full on falls in love with them. At least he believes he does. He helps song well to commit murders and even dispose of bodies."
"James Somerton","00:15:10:11","00:15:33:07","He feels pity for song. Well, after finding out about his abusive childhood. He eventually won't run away, given the chance. Sure, his first attempt failed, but what about in the mall and multiple other instances during the series? He's suspicious of the police officer trying to help him. And finally, he refuses to assist the police when given the opportunity to do so."
"James Somerton","00:15:33:20","00:16:00:14","Eventually, the story moves on to the point where the police officer has gotten enough evidence, he believes, to arrest and convict Songo for murder and kidnaping. He brings both song well and uniform to the police station, but uniform won't say a bad word about song while he's the only witness they've got and he won't say a thing, especially after song declares to the police station that he and bum are a couple that he loves him."
"James Somerton","00:16:01:22","00:16:25:17","This declaration sends Bom into a euphoric tailspin, resulting in him agreeing with everything Song Lo says, refusing to cooperate with the police and eventually the police dropping all possible charges. Even after Song Lo tells him that he was just lying to get the cops off of his back. Uniform holds on to the original Declaration of Love. That's what he wants to remember."
"James Somerton","00:16:25:17","00:16:51:23","And so that's what he will remember. As the series progresses, we get deeper and deeper into the supremely toxic relationship between these two men. It becomes clear if it wasn't already that both are mentally ill. Unum has severe depression, anxiety and abandonment issues. While Sung is a narcissistic psychopath, he has a very high opinion of himself, and anyone who isn't him is basically scum."
"James Somerton","00:16:52:09","00:17:15:10","Tools to be used by him until they're no longer useful to him. And that's what Jung bomb becomes to him. A tool especially for sex. These sex scenes are violent, disturbing and painful to read. It's honestly very hard to believe that certain fans think that they were written to be romantic. Young Bomb begins to represent some girl's mother in more ways than one as well."
"James Somerton","00:17:15:11","00:17:35:10","Not only does he care for Sonko in a motherly way, but in a series of flashbacks, We also learn that song Girl's Mother sexually Molested him as a child, and so his now regular Sex with Young Bomb is a continuation of the relationship with his mother. This drawn connection between Jung Bom and song was Mother eventually becomes a source of anxiety for him, though."
"James Somerton","00:17:36:00","00:17:55:10","You see, Song was Mother was actually the one who killed his father. He didn't do it. His mother did. But in a blatant act of gaslighting, she convinced her son that he killed him in a fit of paranoia. His mother decided that song Wo needed to die as well. And so she tried killing him with the very rat poison that Yoon Bom attempted to kill him with early on in the series."
"James Somerton","00:17:55:17","00:18:17:00","Song Wo eventually discovered this and killed her, arguably in self-defense. And so the people he trusted most in his life, his mother and his father, both betrayed him in one way or another. And now, near the end of the series, he fears that Yoon Bom will do the same thing after an injury leaves him unable to leave the house."
"James Somerton","00:18:17:06","00:18:44:05","He's forced to rely on Yoon Bom to do the grocery shopping and run errands. Convinced that Yoon Bom is either going to run away or kill him. Bom never does, though, but the paranoia remains. During this time, the police officer who had been trying to bring some low down has been having more or less a mental breakdown. But a confluence of events gets him back into the case leading into a violent confrontation between himself and song."
"James Somerton","00:18:44:12","00:19:13:07","When Song Lo is restrained, he calls for Yoon Bom to get the knife that he dropped and kill the cop to save him. Bom gets the knife but can't do it. He lets it clatter to the floor. Song lowers shocked, looks at Bom and says simply, I don't need you anymore. The cop orders bom to run away. Once out in the pouring rain, he stands outside looking at the house that's been his home and prison For God only knows how long."
"James Somerton","00:19:14:03","00:19:35:19","Inside the battle continues and thanks to a gas stove and a lighter, an explosion rips through the building. Jung Bom is taken to the hospital where he recovers from his multiple wounds. When he gets out, he goes in search of someone who last you'd heard was alive in another hospital. Here we learn that song was dead. Not from his injuries, but by being smothered by another patient."
"James Somerton","00:19:37:01","00:20:11:22","She couldn't handle his mumbling through the bandages day and night all the time, calling out bombs name. The series ends with Yoon Bom, seeing who he thinks is song while even though he's dead and running into traffic to chase after him. When it comes to doing an analysis of killing stalking, we're going to run into some problems. What's the subtext that the author is trying to get across?"
"James Somerton","00:20:12:04","00:20:33:19","What are we intended to come away with? Doesn't even matter. Do the author's intentions matter? How much context is needed for killing, stalking, and what is meant to be just taken at face value? I for one, find it very unsettling that it's perceived as romantic, not only by the shippers, by the way, but also by a great many people who read the comic and do understand that it's toxic."
