"Speaker Name","Start Time","End Time","Text"
"James Somerton","00:00:02:08","00:00:13:22","This video is brought to you by my patrons. If you'd like to support my channel and get access to extras like audio commentaries, a patron exclusive podcast and uncut videos, you can join by clicking the link in the description."
"James Somerton","00:00:18:15","00:00:40:08","Nostalgia has this weird grasp on our society. It always has, really, but recently it's gotten particularly prevalent. Movies, TV shows, books, even politicians have been using nostalgia to warm our thoughts to the good old days. Make the days we very well may not have been alive to see it seem like this perfect world we should all wish to return to."
"James Somerton","00:00:40:15","00:01:14:13","One of the biggest shows to come out of the last decade, Stranger Things, has been attributed by viewers and media analysts alike as being a huge catalyst for a wave of 1980s nostalgia. Holding on to our memories with an iron grip. Stranger things is set in the fictional rural town of Hawkins, Indiana. During the 1980s. The nearby Hawkins National Laboratory performs scientific research for the United States Department of Energy, but secretly does experiments into the paranormal and supernatural, including those that involve human test subjects, such as the show's lead character known as 11."
"James Somerton","00:01:14:23","00:01:42:04","Inadvertently, they have created a portal to the hellish alternate dimension. The upside down and the influence of the upside down starts to affect the residents of Hawkins in calamitous ways. The first season begins in November of 1983 with the disappearance of Will Byers, who is abducted by a creature from the upside down that his friends name the demigod, and his mother, Joyce, and the town's police chief, Jim Hopper, lead a mostly off the books investigation into his disappearance."
"James Somerton","00:01:42:15","00:02:21:00","Meanwhile, 11, who has psionic powers, escapes from the laboratory and is found by Will's friends. With everyone working together, they eventually rescue will and defeat the Demogorgon, but not without some of the upside down finding its way into our world. The second season is set. A year later, when Will begins having premonitions of the fall of Hawkins, caused by a creature in the upside down that dwarfs the demogorgon of season one when it is discovered that Will is possessed by the entity his friends and family make a mad attempt at rescuing him once again in the process, discovering the grave dangers that lurk just below the surface of their small town."
"James Somerton","00:02:21:12","00:02:45:03","Season three expands the mythology as we learn more about the creature believed to be heading the forces of the upside down the mind Flayer, which makes its way into our dimension by possessing and destroying bodies. Its defeat is only a momentary relief, though, as Season four introduces us to the real big bad of the series Vector and Evil Force 11 once fought before, but has grown much more powerful since then."
"James Somerton","00:02:45:07","00:03:11:11","It takes the combined efforts of every lead and supporting character on the show to fight him, only to end in a loss as his plan comes to fruition as the upside down begins to invade the real world completely. So from this, albeit brief description of events, you might be asking yourself, where's the nostalgia in that? Who wants to remember going through possession, child abduction, fighting inter-dimensional demons and trauma with a topping of more trauma?"
"James Somerton","00:03:11:19","00:03:35:11","Good question. It's one I've been asking myself because while some people love reliving the 1980s via the show, a lot of other people have sworn off the show because of it. So let's make like a CNN news anchor and look at both sides, figure out what exactly is nostalgia. And as Stranger Things is in the right side up or the upside down of it."
"James Somerton","00:04:29:08","00:04:49:17","If we're going to talk about the morality of nostalgia, that is its moral implications on our media landscape and culture as a whole, we need to clearly outline what it is. But when it comes to nostalgia, it's the clarity part that's the problem when it comes to words, most people would agree that consulting a dictionary is the easiest way to define one."
"James Somerton","00:04:49:21","00:05:23:15","The Merriam-Webster dictionary defines nostalgia as one a wistful or excessively sentimental yearning for return to or of some past period or irrecoverable condition. Also, something that evokes nostalgia and to the state of being homesick. The Cambridge Dictionary defines it as a feeling of pleasure and also slight sadness. When you think about things that happened in the past, neither of those definitions are inherently wrong, but dictionaries often lack two things."
"James Somerton","00:05:23:20","00:05:45:21","First, a description of how these definitions ought to be applied in colloquial language. And second, an awareness of a given society's emotional associations of the word. Take, for instance, the word ultimate. According to traditional dictionary usage, something that is ultimate is the last entry in a long and perhaps epic catalog the ultimate letter of the alphabet as Z."
"James Somerton","00:05:46:01","00:06:11:21","But in common uses it means something like the best or the most powerful something game changing. And dictionaries are often very slow to catch up on expanding a formal definition of a word to include common uses. However, when it comes to nostalgia, we throw this word around a lot. The problem with these aforementioned definitions is that they treat nostalgia as a feeling when it seems to be used to describe a thing."
"James Somerton","00:06:12:10","00:06:40:08","This thing is nostalgic. I would argue that, especially recently, nostalgia can be seen almost like a literary device, something that creators and producers especially use in order to hone in on an audience that is dissatisfied with the current state of the world. Roughly speaking, in spite of nostalgia, its focus around a bitter sweet recollection of the past. In most examples, it's often used to describe media that celebrates a particular era in a culture's history."
"James Somerton","00:06:40:09","00:07:01:01","Getting back to the question at hand is stranger things nostalgia. It does take place in the 1980s and therefore as historic fiction, it is naturally going to include esthetics and objects from the decade and therefore will automatically remind people of the 1980s. And most people tend to have fond memories of their childhood. So yes, it can inspire that feeling."
"James Somerton","00:07:01:07","00:07:06:20","But there is a question about to what extent the series leans on nostalgia as a reason to watch."
"Speaker 2","00:07:08:08","00:07:09:09","As Finger Lickin Good."
"James Somerton","00:07:09:12","00:07:29:16","Is a glowing rose tinted depiction of the eighties all it has to offer. See, back when Season one first came out, I dodged it. I read some people saying they couldn't get through the first season because they said it was just nostalgia bait and nothing more. It wasn't until the second season that I picked up on the series and now I watch it when it drops at 4 a.m. every season."
"James Somerton","00:07:29:21","00:07:49:02","In spite of whatever nostalgia it may inspire before reminding people that the eighties was their thing, it's just an exceptionally well-made show on nearly every front. But it wasn't until I read Binge to the series going into Season four that I really struggled to figure out where to find the nostalgia in the first chapter of this Stephen King esque."
"James Somerton","00:07:49:02","00:08:15:02","Kids on Bikes, Supernatural Horror. The show points out several brands that don't exist anymore reminds you of the role that modern brands had in contributing to the cultural atmosphere of the 1980s. And the plot takes you to places that have mostly died off when you get down to it. That's really where the nostalgia is a celebration of narrative tropes and characters that were frequent in the 1980s, specifically those commonly used by Stephen King."
"James Somerton","00:08:15:06","00:08:28:14","The Duffer Brothers were actually in discussion to spearhead 2017 remake of it, but Warner Brothers didn't want to hire people only known for streaming shows. And now Warner Brothers is desperately trying to get their streaming service off the ground."
"Speaker 3","00:08:28:19","00:08:29:09","And I hope."
"James Somerton","00:08:30:00","00:08:58:09","However, is a reprisal of narrative tropes alone indicative of nostalgia. I would struggle to justify that even per the dictionary definition, especially as far as these instances were meant to reprise these tropes and find ways to fit them into the larger context of cultural awareness. Tropes themselves are not limited to a particular point in time. And when it comes to the second season, there really isn't that much more in the way of the feel good rose tinted lens we expect of media about the eighties."
"James Somerton","00:08:59:01","00:09:22:13","Again, the reverence here is a reverence for tropes and narrative devices that were popular in the day. If season one is a love letter to Stephen King and Steven Spielberg with the likes of E.T. Season two is a love letter to The Exorcist Gremlins. Whether or not a piece of historic media is out to sentimentalize the past depends on what it's trying to get you to remember and what it's encouraging you to overlook."
"James Somerton","00:09:22:19","00:09:52:22","Compare and contrast with Ready. Player one. Ready. Player one References the eighties incessantly with allusions to video games and cultural icons, but does absolutely nothing to depict the cultural context from which it was removed. For instance, ready Player one almost cluelessly makes the principal villain an executive who's trying to gain ownership of a public commodity. This element, juxtaposed against the positive depictions of scrappy kids fighting the man and reverent treatment of 1980s iconography establishes a narrative language."
"James Somerton","00:09:53:09","00:10:20:01","Things from the 1980s are good. We want these things to save the day and be heroic. But things shown to be from our modern culture that being corporate takeovers, commodification and financial exploitation. These are bad things. And the implicit messaging is things today are bad. So don't you miss the 1980s when things were good? But these are things that started happening in the 1980s with Reagan's campaign of deregulation."
"James Somerton","00:10:20:10","00:10:48:02","The rose tinted goggles allow the reader viewer to pretend they didn't pop up until recently through a viewer's emotional investment in media. A producer can associate positive feelings with the 1980s. You want with the characters you identify with want. You want eggos. I want a producer wants you to turn away from something like secret government laboratories. They can associate negative feelings when your main characters interact with government agencies."
"James Somerton","00:10:48:08","00:11:09:13","That's called subliminal messaging. When nostalgia is described as toxic, it's referencing media, which seeks to use this subliminal process to redevelop historic realities. In this instance, forming positive emotions around cultural landmarks of the 1980s. The more this process is repeated, the more the negative aspects of eighties culture are diminished. And there was plenty of at the 1980s that was horrible."
"James Somerton","00:11:09:21","00:11:28:01","And that became more true. The less white, the less straight, the less male and the less rich you were. The thing is, I can't really say that Stranger Things does anything to really engage with this kind of nostalgic celebration. Season one spends most of its episodes going out of its way to remind people why Stranger Danger was such a big deal."
"James Somerton","00:11:28:05","00:11:51:18","Stranger danger. While you may have heard the phrase use comedically, has an incredibly dark history. Back in the eighties, there was a massive rash of child disappearances. To the point of nearly becoming endemic. Stranger danger was a propaganda campaign, and in this context, propaganda is used positively to condition children to be wary of strangers, even if and especially if they claim to know your parents and tell you to get into a car."
"James Somerton","00:11:52:01","00:12:13:04","Stranger Things Season one revolves mostly around the disappearance of Will Byers and hinges on his mother, Joyce, played by multiple Oscar nominee Winona Ryder, who, thanks to this series, is finally getting her career back after shoplifting. Got it. Didn't take much back in the day anyway. When owner carries the first season as a mother experiencing an emotional breakdown over the disappearance of her child."
"James Somerton","00:12:13:10","00:12:43:01","The first season also dealt with severe bullying to the point of knife violence, double standards regarding sexuality among boys and girls, extreme prevalence of casual homophobia, and a complete dismissal of trauma from almost literally everyone. With Stranger Things one as an exclusive reference in conjunction with Will Byers hair, the 1980s is not a period of time I would ever want to live in, and given that the social climate of the first season is focused entirely around bullying, slut shaming and casual homophobia, I'm not sure."
"James Somerton","00:12:43:01","00:13:02:04","What about season one made so many people write it off as mindless, nostalgic drivel. Season two seemed to have even less to say about the 1980s specifically. Aside from featuring a local arcade as a setting for a handful of scenes and an unmentioned, albeit obvious racist sentiment coming from a secondary villain, elements that can be considered to be nostalgia based."
"James Somerton","00:13:03:00","00:13:19:11","I feel like in a lot of ways they're just there to frame the characters as being people who existed in the 1980s. The Ghostbusters Halloween costumes may be a hollow reminder of the franchise's origins, but it's also not at all out of the question that a group of four nerdy friends would opt to make costumes out of one of the most popular movies of the year."
"James Somerton","00:13:19:14","00:13:40:01","Not that they need help to establish these characters, but it would make less sense if they dressed up as anything else for Halloween. If creators go out of their way to avoid cultural references and historic media, there's a point where it becomes more apparent than if they just let their characters exist. In the time period where a discussion about popular movies would inevitably find its way into a conversation."
"James Somerton","00:13:40:12","00:14:07:14","Season three stands out in the series, however, whereas the prior two seasons do very little to engage with the celebration of the era. Season three seems to want to dive right in without any prior buildup in the first two seasons. The key element of the third season revolves around the nostalgia of shopping malls. Malls seem to hold a place of particular prominence in 1980s media."
"James Somerton","00:14:08:04","00:14:31:09","My guess is that, first of all, there was a glut of shopping malls constructed in the 1980s. Secondly, they became prevalent as teen age safe hangout zones with only cursory adult supervision. Capitalism says get them young. So a lot of adults today have collected a large number of teenage memories that take place in shopping malls as they grow up and become creators and audiences."
"James Somerton","00:14:31:15","00:14:51:00","Like all generations, they favor media, which revisits their childhood. Whereas the prior seasons were referencing a rash of missing children that nobody likes to talk about, as well as a mysterious virus beset on people who may or may not be homosexual. Again, that nobody really likes to talk about. Season three features a lot of. Hell yeah. The Mall."
"James Somerton","00:14:51:00","00:15:02:06","There are two overlapping shopping montages a strong positive association between teenage freedom of identity and consumerism, and a plethora of product placement which feels more like a 30 rock joke."
"Speaker 2","00:15:02:10","00:15:03:08","While this is Diet."
"Speaker 3","00:15:03:08","00:15:05:13","Snapple, I know it tastes like regular Snapple, doesn't."
"James Somerton","00:15:05:13","00:15:28:07","It? But wanton references to products aren't the only methods. This season has to evoke nostalgic feelings. All seasons of Stranger Things feature a number of 80 songs that have stood the test of time with specific songs taking the center stage as pivotal moments for plot development, which in itself is not altogether uncommon for other media, which focuses on the 1980s or any decade for that matter."
