"Speaker Name","Start Time","End Time","Text"
"James","00:00:00:08","00:00:29:11","Hello, everyone, and welcome to the latest episode of the Podrian. I am James Solo once again. I'm just going to go forward, just Nick will be special appearances on the pod for Ron and I will just figure out something to talk about every week. So how's everyone doing? This isn't a livestream, so this that question just doesn't really make sense, does it?"
"James","00:00:29:12","00:01:07:03","Asking the crowd, but leave it in the comments below or on this post how you're doing. Because I actually do care about how you're all doing. Um, so I put out, um, having estimated that Nick would not be here for this podcast, I put out a question on the Patron, um, Discord server asking, you know, like we used to do AGMs every month with patrons where, you know, everyone could ask any questions at all that they wanted."
"James","00:01:07:03","00:01:40:17","And then I would do a live stream answering the questions and then, you know, other people would come on and I would answer their questions and stuff like that, and patrons would have their their questions would obviously take precedent. But I've been doing so many livestreams now that I feel like doing an old school AMA is kind of, um, not really useful, I guess, because, you know, I'm answering everyone's questions like every second night on YouTube."
"James","00:01:41:15","00:02:01:02","And so it's like, why, why do a normal AMA? But I thought, you know what I would like to actually keep doing AMA is that ah, patron exclusive. And so maybe instead of doing streams we can do these podcasts and if you guys would prefer it to be a stream, by all means, you are my boss after all."
"James","00:02:01:19","00:02:27:17","And um, so yeah, I've got a couple of questions here. Not a whole ton, so I don't think the podcast will be super duper long, but God knows I can go on rambling incessantly for ever. I mean, the last 2 minutes was me just explaining that I'm going to answer some questions that you asked so God knows I can go forever and ever if I have a topic to go on."
"James","00:02:28:13","00:02:57:15","So. So the first question is what is the most conservative piece of media that you know, which has a very popular queer reading? And this one kind of caught me off guard because I really had to think about it because I was like, Do I watch any queer media or do I do? Yes. Do I watch any conservative media at all, like, ever?"
"James","00:02:58:05","00:03:25:01","And I really had to think about it. And my brain, once I started kind of ruminating on it, my brain went to attack on Titan, which is, you know, has kind of been co-opted by conservatives, not so much conservatives as like the far right. It's been co-opted by the far right, whereas there's a lot of queer readings and just queer representation in Attack on Titan."
"James","00:03:25:01","00:03:59:11","So that was the first thing that my brain went to. But kind of like going through my movie collections and all the TV shows that I've watched, I really started to like really think like, what have I watched that could be considered conservative? Um, and honestly, the, the closest thing to conservative media that I can say that I've watched is Lord of the Rings."
"James","00:04:01:04","00:04:44:04","And let me just explain why, for the most part in Lord of the Rings, it is very conservative, but it's not conservative in a in most cases anyway, in a negative kind of, um, sort of not retroactive, but kind of going back in time, kind of regressive. It's not it's not conservative in a in a regressive way, but just sort of looking at the past with, um, you know, a fondness Tolkien was very, very fond of, um, you know, pastoral ness growing up in the countryside."
"James","00:04:44:12","00:05:17:17","And he called it urban creep when he watched the city as as England would during the Industrial Revolution, as England industrialized more and more. And he he watched as a child and a teenager as the factories would move closer and closer to, you know, his small little, you know, pastoral village that he was growing up in. And I'd you know, he would watch the smokestacks get closer every year."
"James","00:05:19:07","00:05:44:07","And I think that's a that's a traditionally conservative thought process. Um, you know that the city is bad and small towns are good. That's a very traditional conservative thought process, something that a lot of conservative politicians have kind of latched on to recently to kind of say, Oh, all those crazies in New York City, in Los Angeles, they try and run the country."
"James","00:05:44:07","00:06:03:02","And it's you know, it's the small towns that are the the life bread of the life, the life bread, the lifeblood of the country and stuff like that. Um, and, you know, that's very much what Tolkien was saying, but he wasn't saying the people who live in the city are evil. He was or bad or backwards or anything like that."
"James","00:06:03:02","00:06:35:11","He was more so saying that, you know, the encroachment on nature was bad, that, you know, there's nothing wrong with cities. It's when cities start taking over more than kind of their initial footprint. And of course, there's, you know, very few there are very powerful women in the Lord of the Rings, but very few of them kind of step outside the traditional, um, magical woman role that has existed for millennia at this point."
