"Speaker Name","Start Time","End Time","Text"
"James Somerton","00;00;02;29","00;00;22;26","At 10:43 a.m. on the morning of October 29th, 1990, a group of plain-clothed police officers were eating breakfast at a local Hollywood diner, Barb's Quickie Grill, when they were approached by a homeless man knowing they were cops because of his history on the street. He informed them that he'd found a body in a dumpster behind the diner."
"James Somerton","00;00;23;20","00;00;50;01","At first, the officers suspicions were low. Bodies, particularly body parts, were found in dumpsters, often usually a result of medical waste. But the man's insistence led to them following him outside, where Officer Mike Bertram climbed into the dumpster and opened the bag the homeless man had pointed out. Inside the black trash bag, Officer Bertram saw the face of a boy with what he later described as the bluest eyes he'd ever seen."
"James Somerton","00;00;50;25","00;01;04;00","The eyes transfixed him until he realized that they belonged to a severed head. The head of William Billy Arnold Newton, better known by his adult film alias Billy London."
"James Somerton","00;01;20;19","00;01;46;01","Billy Newton had grown up in Wisconsin before moving to California in 1984. In an issue of Man Shots magazine from June of 1991, Billy's friends described him as someone who saw himself more as an artist, only doing adult film work to keep the bills paid while he pursued his real passions in adult film. He worked both in front of and behind the camera, working as a producer, set designer and makeup artist when not performing."
"James Somerton","00;01;46;10","00;02;05;20","But the industry wasn't giving him the professional satisfaction or stability he sought, and he was growing tired of it. In the summer and early fall of 1990, he began to make plans to move to Las Vegas, where his mother and sister lived. He wanted to be closer to family, and his skills as a licensed beautician could come in handy living near the Vegas Strip."
"James Somerton","00;02;06;00","00;02;28;29","According to author Christopher Rice, in the days leading up to his death, Billy had been putting together the last pieces of the puzzle that would lead to his move, starting with bringing in as much money as possible. At the time, he was working on completing a few final productions. On October 25th, he worked late on the production, titled In the Grip of Passion, in which Billy performed both on screen and behind the camera as a makeup artist."
"James Somerton","00;02;29;03","00;02;48;07","The day ran so late that he didn't return home to his apartment, which he shared with three roommates until well after midnight. The next day, Billy performed in a scene for another film and was booked to return to the studio the next week to perform in a solo scene. This solo scene would likely have been his final scene before heading to Las Vegas."
"James Somerton","00;02;48;16","00;03;09;21","On Saturday, Billy returned to work on further scenes for In the Grip of Passion, which was being produced by his ex-boyfriend and business partner, David Ray. Finishing work for the day at around 9:30 p.m., Billy and David went to dinner at the Yukon Mining Company, a local restaurant known for its all day breakfast and being a place where sex workers would take a break during long nights."
"James Somerton","00;03;10;01","00;03;30;16","Billy and David spent several hours there, mostly catching up with friends before Billy returned home at some point past midnight. This was the last time David Ray saw Billy Newton alive. The next morning, Sunday, October 28th, Billy placed a call to his sister in Las Vegas to get her advice on whether or not he should book a bus or plane ticket for the trip to Vegas the next week."
"James Somerton","00;03;30;23","00;03;53;16","Settling on the bus as a more economical option, enjoying having the day off the first in a while. Billy spent the rest of the morning hanging out with his three roommates before leaving to go to a local video store. Billy made plans with his roommates to meet up later that afternoon for drinks. Later, when questioned by the police, the roommates would give the laughable alibi that they had spent the day at a church picnic."
"James Somerton","00;03;54;01","00;04;17;00","That afternoon, Billy entered Rage, a well known gay nightclub in West Hollywood. It was slow at the time, and the staff were busy decorating for Halloween, practically a national holiday in the city of West Hollywood. According to the bartender at the time, who had actually been in a casual relationship with Billy Newton seemed depressed. Unfortunately, because he was busy decorating, he wasn't able to spend much time talking with Billy."
"James Somerton","00;04;17;08","00;04;36;27","The bartender would later say that Billy sat at the bar alone, drinking several cocktails without ever interacting with anyone else at the bar, leaving Rage at around 4:30 p.m.. Another bartender later told police that he couldn't remember Billy coming into the bar at all that day. But these aren't the only accounts of what Billy was up to on the afternoon of October 28th."
"James Somerton","00;04;37;11","00;05;02;13","Another account from the time came from a friend of Billy's who he called while either still at rage via payphone or immediately before going to rage. They discussed his move to Las Vegas, and Billy seemed to be in high spirits, a departure from the story told by the bartender. He reportedly spoke with. But according to Run Wheeler, an acquaintance of Billy, who was also at Rage around the same time Billy was there and wasn't quite so alone."
"James Somerton","00;05;03;00","00;05;29;00","Ron, who was there with some friends, spoke to a man he hoped he would get more than just a conversation out of. The man was from out of town and was curious to know if rage was always so slow. But Ron assured him that it would get busier after the sun went down. Ron planned on keeping an eye on the man who he found incredibly attractive, but Ron later saw the man spend quite a long time flirting with Billy at the bar and then leave with him."
"James Somerton","00;05;29;12","00;05;56;24","This was the last time that anyone reported seeing Billy alive. Sometime later, after moving away from Los Angeles, Ron Wheeler seemed to recognize the man with whom Billy left rage that afternoon while watching the evening news. He was shocked to see him again, especially under the circumstances. Wheeler would tell Christopher Rice that the man he saw on his TV that day, the man who he believed to be the one who left with Billy was Jeffrey Dahmer."
"James Somerton","00;05;57;16","00;06;20;25","He reported this to the police at the time, but never heard back from them. Around the time of Dahmer's arrest, there were so many reports coming in about him that not all of them could even be processed, let alone investigated. But whether Billy really went home with Jeffrey Dahmer, that afternoon is up for debate. Dahmer, who lived in Milwaukee, was in a dry spell at the time, a five month period in 1990 in which he did not actively murder anyone."
"James Somerton","00;06;21;09","00;06;50;04","He had recently reconciled with his mother, who lived in California. So the idea that he was in Los Angeles on October 28th is not unreasonable, but still highly unlikely. In any case, he was never taken seriously as a suspect by the police investigating the case at the time. The morning after Billy reportedly left Rage nightclub with Dahmer or a very close look alike, he was found dismembered, his head in one dumpster, his hands and feet in another, but the rest of his body was never found."
"James Somerton","00;06;50;19","00;07;20;06","Surprising, it was eventually discovered that the cause of death was not the dismemberment, much to the relief of his family and friends, but blunt force trauma to the head, followed by strangulation. So at least Billy wasn't alive when the dismembering began. Once the police knew to start looking for leads within the gay community, they hit a roadblock almost immediately, as many in the community not exactly trusting of the police at the time were not willing to speak to them or give any kind of statement."
"James Somerton","00;07;20;18","00;07;46;00","Others in the community avoided going into too much detail when it came to murders or disappearances, since the fear of the closet was still very real. A conversation about one murder victim, even a well-known adult film performer could quickly spiral to include other people in his orbit who may or may not be out of the closet. And the LAPD, not known for their subtlety, could have easily outed any number of people in the process of the investigation."
"James Somerton","00;07;46;09","00;08;10;04","And so lips were kept sealed. Some of the people who were willing to speak to the police ended up misdirecting the investigation by stating that Billy was not just an adult film performer, but a sex worker on the streets as well. This led to the police believing he may have simply had a bad experience with a John. Though Billy's friends repeatedly told them that he only did adult film work and no other kind of sex work."
